Date,Open,High,Low,Close,Volume,Adj Close,,
5/30/2006,127.970001,129.429993,126.050003,129,81192600,104.946716,,129
6/5/2006,128.850006,128.860001,123.870003,125.349998,125026500,101.977295,,125.349998
6/12/2006,125.879997,126.360001,122.339996,124.650002,134676300,101.856049,,124.650002
6/19/2006,125.400002,125.699997,123.550003,124.440002,72996000,101.684448,,124.440002
6/26/2006,124.540001,127.660004,123.650002,127.279999,66982100,104.005112,,127.279999
7/3/2006,127.43,128.009995,126.290001,126.610001,56323500,103.457634,,126.610001
7/10/2006,126.940002,127.43,122.830002,123.519997,84562800,100.932678,,123.519997
7/17/2006,123.519997,126.300003,122.389999,123.949997,110263000,101.28405,,123.949997
7/24/2006,124.440002,128.139999,124.440002,127.980003,88456900,104.57711,,127.980003
7/31/2006,127.660004,129.429993,126.599998,128.199997,67915500,104.756874,,128.199997
8/7/2006,127.900002,128.600006,126.279999,127.010002,66398700,103.784492,,127.010002
8/14/2006,127.629997,130.690002,126.919998,130.690002,65400100,106.79155,,130.690002
8/21/2006,130.179993,130.520004,129.190002,129.809998,53860900,106.072464,,129.809998
8/28/2006,129.649994,131.580002,129.639999,131.419998,50171200,107.388054,,131.419998
9/5/2006,131.509995,131.850006,129.350006,130.279999,59377400,106.45652,,130.279999
9/11/2006,129.860001,132.449997,129.479996,131.960007,67155800,108.303551,,131.960007
9/18/2006,131.789993,132.770004,131,131.470001,77269300,107.901382,,131.470001
9/25/2006,131.729996,133.990005,131.050003,133.580002,71051600,109.633125,,133.580002
10/2/2006,133.539993,135.410004,132.649994,135.009995,66235100,110.806763,,135.009995
10/9/2006,134.850006,136.710007,134.300003,136.630005,62950900,112.136353,,136.630005
10/16/2006,136.520004,137.369995,135.669998,136.839996,66355900,112.308701,,136.839996
10/23/2006,136.559998,139,136.389999,137.910004,68928300,113.18689,,137.910004
10/30/2006,137.660004,138.309998,135.619995,136.539993,67207400,112.062485,,136.539993
11/6/2006,136.960007,139.139999,136.860001,138.240005,71809500,113.457733,,138.240005
11/13/2006,138.179993,140.679993,138.070007,140.419998,73138800,115.246918,,140.419998
11/20/2006,140.300003,141.160004,139.940002,140.350006,49261300,115.189476,,140.350006
11/27/2006,140.279999,141.050003,138.110001,140.220001,98261400,115.082771,,140.220001
12/4/2006,140.25,142.300003,140.229996,141.419998,71384700,116.06765,,141.419998
12/11/2006,141.419998,143.240005,140.889999,142.339996,61672700,117.473618,,142.339996
12/18/2006,142.539993,142.880005,140.669998,140.75,53243000,116.161392,,140.75
12/26/2006,140.809998,142.699997,140.779999,141.619995,38793500,116.879402,,141.619995
1/3/2007,142.25,142.860001,140.380005,140.539993,80357800,115.988075,,140.539993
1/8/2007,140.820007,143.240005,140.25,143.240005,65922100,118.2164,,143.240005
1/16/2007,143.070007,143.460007,142.309998,142.820007,55065700,117.869774,,142.820007
1/22/2007,143.070007,143.979996,141.580002,142.130005,62198400,117.300316,,142.130005
1/29/2007,142.190002,144.949997,141.740005,144.809998,69462000,119.512123,,144.809998
2/5/2007,144.699997,145.360001,143.389999,143.940002,61636300,118.794113,,143.940002
2/12/2007,143.940002,145.949997,143.190002,145.729996,54867000,120.271393,,145.729996
2/20/2007,145.559998,146.419998,145,145.300003,67979200,119.916519,,145.300003
2/26/2007,145.830002,145.949997,138.050003,138.669998,179319600,114.444763,,138.669998
3/5/2007,137.929993,141.419998,137.330002,140.779999,125577000,116.18615,,140.779999
3/12/2007,140.419998,141.339996,136.75,138.529999,151358600,114.782684,,138.529999
3/19/2007,139.259995,143.809998,139.149994,143.389999,104807200,118.80957,,143.389999
3/26/2007,143.5,143.649994,140.559998,142,126837300,117.657845,,142
4/2/2007,142.160004,144.440002,141.479996,144.240005,68163000,119.513863,,144.240005
4/9/2007,144.649994,145.320007,143.339996,145.320007,82754900,120.40873,,145.320007
4/16/2007,145.830002,148.619995,145.820007,148.619995,101379100,123.143021,,148.619995
4/23/2007,148.369995,149.800003,147.320007,149.529999,99418600,123.897026,,149.529999
4/30/2007,149.639999,151.119995,147.669998,150.919998,101065000,125.048744,,150.919998
5/7/2007,150.880005,152.820007,149.270004,150.860001,102628400,124.999031,,150.860001
5/14/2007,150.860001,152.619995,149.789993,152.619995,120636400,126.457321,,152.619995
5/21/2007,152.580002,153.5,150.740005,151.690002,132300400,125.686752,,151.690002
5/29/2007,151.940002,154.399994,151.339996,154.080002,108418000,127.667053,,154.080002
6/4/2007,153.539993,154.389999,149.059998,151.039993,155464800,125.14817,,151.039993
6/11/2007,150.929993,153.660004,149.550003,153.070007,165909800,127.376831,,153.070007
6/18/2007,153.380005,153.580002,149.850006,150.550003,157347100,125.279816,,150.550003
6/25/2007,150.240005,151.649994,148.059998,150.429993,200300900,125.179947,,150.429993
7/2/2007,150.869995,153.169998,150.770004,152.979996,81948300,127.301926,,152.979996
7/9/2007,153.160004,155.460007,150.520004,154.850006,134799000,128.858047,,154.850006
7/16/2007,154.990005,155.529999,152.830002,153.5,170636500,127.73465,,153.5
7/23/2007,154.179993,154.720001,145.050003,145.110001,306742100,120.75293,,145.110001
7/30/2007,145.929993,149.460007,143.199997,143.800003,344364100,119.662819,,143.800003
8/6/2007,144.210007,150.589996,142.529999,144.710007,320223900,120.420074,,144.710007
8/13/2007,146.5,146.889999,137,144.710007,340969500,120.420074,,144.710007
8/20/2007,145.169998,148.330002,143.289993,148.330002,170072100,123.432449,,148.330002
8/27/2007,147.850006,148.5,143.460007,147.589996,183552800,122.81665,,147.589996
9/4/2007,147.449997,149.979996,145.259995,146.070007,162412400,121.551796,,146.070007
9/10/2007,146.520004,149.449997,144.330002,148.899994,155986400,123.906761,,148.899994
9/17/2007,148.309998,154.389999,147.630005,151.970001,176810900,127.061394,,151.970001
9/24/2007,152.419998,153.190002,150.470001,152.580002,130674500,127.571411,,152.580002
10/1/2007,152.600006,156.100006,152.5,155.850006,118328200,130.30545,,155.850006
10/8/2007,155.389999,157.520004,154.539993,156.330002,125024300,130.706772,,156.330002
10/15/2007,156.270004,156.479996,149.660004,149.669998,197980400,125.138367,,149.669998
10/22/2007,148.860001,153.619995,148.660004,153.619995,236525500,128.440948,,153.619995
10/29/2007,153.929993,155.270004,149.210007,151.199997,225009200,126.417595,,151.199997
11/5/2007,149.639999,152.110001,144.889999,145.139999,272707200,121.350861,,145.139999
11/12/2007,145.210007,149.399994,143.699997,145.789993,247329100,121.894318,,145.789993
11/19/2007,145.279999,145.529999,141.669998,144.130005,254803500,120.506409,,144.130005
11/26/2007,144.429993,149.869995,140.660004,148.660004,237808900,124.293915,,148.660004
12/3/2007,148.190002,151.5,146.309998,150.910004,151506300,126.175133,,150.910004
12/10/2007,151.279999,152.889999,147.100006,147.169998,218680100,123.048134,,147.169998
12/17/2007,146.610001,148.419998,143.960007,148.130005,196530800,124.50811,,148.130005
